品名,最低价,平均价,最高价,规格,单位,发布日期
玫瑰香葡萄,10.00,12.00,14.00,葡萄类,斤,2021-05-23
克伦生,6.00,8.00,10.00,葡萄类,斤,2021-05-23
黑提葡萄、夏黑,8.00,9.00,10.00,葡萄类,斤,2021-05-23
蓝莓葡萄,8.00,9.00,10.00,葡萄类,斤,2021-05-23
乒乓球葡萄,10.00,11.00,12.00,葡萄类,斤,2021-05-23
维多利亚葡萄,8.00,8.50,9.00,葡萄类,斤,2021-05-23
郁金香,10.00,11.00,12.00,葡萄类,斤,2021-05-23
台农小芒果,2.50,3.25,4.00,芒果类,斤,2021-05-23
台农大芒果,3.00,4.00,5.00,芒果类,斤,2021-05-23
红金龙,4.00,5.00,6.00,芒果类,斤,2021-05-23
高乐密,2.50,3.75,5.00,芒果类,斤,2021-05-23
青皮芒果,2.50,3.25,4.00,芒果类,斤,2021-05-23
水仙芒果,3.50,4.50,5.50,芒果类,斤,2021-05-23
玉纹,5.00,6.00,7.00,芒果类,斤,2021-05-23
肯特\新世纪\澳芒,4.50,6.25,8.00,芒果类,斤,2021-05-23
妃子笑,6.00,7.50,9.00,荔枝类,斤,2021-05-23
荔枝王,33.00,34.50,36.00,荔枝类,斤,2021-05-23
红灯,17.00,17.50,18.00,樱桃类,斤,2021-05-23
水晶,25.00,27.50,30.00,樱桃类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
佳红,70.00,105.00,140.00,樱桃类,斤,2021-05-23
美早,20.00,35.00,50.00,樱桃类,斤,2021-05-23
布鲁克斯,15.00,17.50,20.00,樱桃类,斤,2021-05-23
先锋樱桃,15.00,18.50,22.00,樱桃类,斤,2021-05-23
沙蜜托,20.00,22.50,25.00,樱桃类,斤,2021-05-23
鸡翅,10.00,10.50,11.00,禽肉类,斤,2021-05-23
鸡翅中,21.00,21.00,21.00,禽肉类,斤,2021-05-23
鸡边腿,7.00,7.00,7.00,禽肉类,斤,2021-05-23
鸡排腿,7.50,7.50,7.50,禽肉类,斤,2021-05-23
鸡琵琶腿,7.50,7.75,8.00,禽肉类,斤,2021-05-23
鸡爪,16.00,16.00,16.00,禽肉类,斤,2021-05-23
鸡头,2.00,2.25,2.50,禽肉类,斤,2021-05-23
鸡架子,2.00,2.25,2.50,禽肉类,斤,2021-05-23
鸡翅根,9.00,9.00,9.00,禽肉类,斤,2021-05-23
白条乌鸡（净膛）,13.00,13.00,13.00,禽肉类,斤,2021-05-23
箱鸡蛋,190.00,192.50,195.00,蛋类,斤,2021-05-23
箱鸡蛋,4.32,4.38,4.43,蛋类,斤,2021-05-23
散鸡蛋,4.60,4.60,4.60,蛋类,斤,2021-05-23
生鸭蛋,5.50,6.00,6.50,蛋类,斤,2021-05-23
熟鸭蛋,6.00,6.75,7.50,蛋类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
松花蛋,6.20,7.10,8.00,蛋类,斤,2021-05-23
鹅蛋,12.00,12.50,13.00,蛋类,斤,2021-05-23
鹌鹑蛋,6.00,6.50,7.00,蛋类,斤,2021-05-23
柴鸡蛋,4.80,7.40,10.00,蛋类,斤,2021-05-23
乌鸡蛋,7.50,8.00,8.50,蛋类,斤,2021-05-23
鸵鸟蛋,100.00,110.00,120.00,蛋类,斤,2021-05-23
鸽子蛋,2.50,2.55,2.60,蛋类,斤,2021-05-23
北豆腐（屉）,1.80,1.80,1.80,豆制品,斤,2021-05-23
南豆腐（屉）,2.00,2.00,2.00,豆制品,斤,2021-05-23
白玉北豆腐,4.00,4.00,4.00,豆制品,盒,2021-05-23
香香北豆腐,3.00,3.00,3.00,豆制品,盒,2021-05-23
白玉南豆腐,5.50,5.50,5.50,豆制品,盒,2021-05-23
豆腐丝,5.00,5.00,5.00,豆制品,斤,2021-05-23
精品豆腐丝,6.00,6.00,6.00,豆制品,袋,2021-05-23
豆腐皮,5.50,5.50,5.50,豆制品,斤,2021-05-23
豆腐干,4.50,4.50,4.50,豆制品,斤,2021-05-23
精品豆腐干,5.00,5.00,5.00,豆制品,袋,2021-05-23
豆腐泡,5.50,5.50,5.50,豆制品,斤,2021-05-23
精品豆腐泡,5.00,5.00,5.00,豆制品,袋,2021-05-23
白玉内酯豆腐,2.50,2.50,2.50,豆制品,盒,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
香香内脂豆腐,1.50,1.50,1.50,豆制品,盒,2021-05-23
白条猪（瘦）,11.50,11.50,11.50,猪肉类,斤,2021-05-23
白条猪（肥）,9.25,9.25,9.25,猪肉类,斤,2021-05-23
前臀尖（瘦）,10.00,10.50,11.00,猪肉类,斤,2021-05-23
前臀尖（肥）,9.00,9.50,10.00,猪肉类,斤,2021-05-23
后臀尖（瘦）,10.00,10.50,11.00,猪肉类,斤,2021-05-23
后臀尖（肥）,9.00,9.50,10.00,猪肉类,斤,2021-05-23
五花肉（瘦）,13.00,14.00,15.00,猪肉类,斤,2021-05-23
五花肉（肥）,12.00,12.50,13.00,猪肉类,斤,2021-05-23
纯通脊,12.00,12.50,13.00,猪肉类,斤,2021-05-23
通脊,10.00,11.00,12.00,猪肉类,斤,2021-05-23
纯瘦肉,11.00,11.50,12.00,猪肉类,斤,2021-05-23
前肘,11.00,11.50,12.00,猪肉类,斤,2021-05-23
后肘,9.50,10.25,11.00,猪肉类,斤,2021-05-23
猪尾巴,43.00,44.00,45.00,猪肉类,斤,2021-05-23
猪蹄,18.00,18.50,19.00,猪肉类,斤,2021-05-23
纯排骨,21.00,22.50,24.00,猪肉类,斤,2021-05-23
