荔枝王,13.00,15.50,18.00,荔枝类,斤,2021-05-31
桂味,4.00,4.50,5.00,荔枝类,斤,2021-05-31
红灯,9.00,11.00,13.00,樱桃类,斤,2021-05-31
水晶,12.00,15.00,18.00,樱桃类,斤,2021-05-31
佳红,60.00,100.00,140.00,樱桃类,斤,2021-05-31
美国红,10.00,10.50,11.00,樱桃类,斤,2021-05-31
美早,10.00,25.00,40.00,樱桃类,斤,2021-05-31
布鲁克斯,12.00,14.00,16.00,樱桃类,斤,2021-05-31
春雪,2.80,5.40,8.00,桃李杏类,斤,2021-05-30
黄油桃,4.00,6.00,8.00,桃李杏类,斤,2021-05-30
黄毛桃,10.00,11.00,12.00,桃李杏类,斤,2021-05-30
突围,3.00,3.75,4.50,桃李杏类,斤,2021-05-30
猕猴桃（徐香翠香）,2.50,3.00,3.50,桃李杏类,斤,2021-05-30
猕猴桃（海沃德）,2.00,2.25,2.50,桃李杏类,斤,2021-05-30
胭脂杏,3.00,3.50,4.00,桃李杏类,斤,2021-05-30
李子,8.00,10.00,12.00,桃李杏类,斤,2021-05-30
秦杏,3.00,3.50,4.00,桃李杏类,斤,2021-05-30
金太阳,1.50,2.00,2.50,桃李杏类,斤,2021-05-30
丰源红,2.00,2.50,3.00,桃李杏类,斤,2021-05-30
凯特杏、白杏,9.00,10.00,11.00,桃李杏类,斤,2021-05-30
无籽小号-大号,1.80,1.90,2.00,西瓜类,斤,2021-05-30
麒麟、甜蜜蜜,1.80,2.10,2.40,西瓜类,斤,2021-05-30
黑美人,1.60,1.80,2.00,西瓜类,斤,2021-05-30
特小风,2.00,2.25,2.50,西瓜类,斤,2021-05-30
L600吊秧瓜,2.00,2.50,3.00,西瓜类,斤,2021-05-30
甜王,1.20,1.40,1.60,西瓜类,斤,2021-05-30
蜜童,2.00,2.15,2.30,西瓜类,斤,2021-05-30
墨童西瓜,2.00,2.15,2.30,西瓜类,斤,2021-05-30
黑灯,10.00,11.00,12.00,樱桃类,斤,2021-05-31
先锋樱桃,12.00,13.50,15.00,樱桃类,斤,2021-05-31
沙蜜托,10.00,12.50,15.00,樱桃类,斤,2021-05-31
椰青个,6.00,6.25,6.50,其他类,斤,2021-05-31
箱装菠萝（上六下六）,1.20,1.40,1.60,其他类,斤,2021-05-31
国产凤梨,1.60,2.00,2.40,其他类,斤,2021-05-31
香水菠萝,3.00,3.25,3.50,其他类,斤,2021-05-31
百香果,12.00,12.50,13.00,其他类,斤,2021-05-31
桑葚,3.50,4.00,4.50,其他类,斤,2021-05-31
白草莓（日本淡雪）,12.00,14.00,16.00,其他类,斤,2021-05-31
红颜九九草莓,7.00,8.00,9.00,其他类,斤,2021-05-31
杨梅,8.00,10.00,12.00,其他类,斤,2021-05-31
火龙果,3.00,4.50,6.00,其他类,斤,2021-05-31
木瓜,3.00,3.25,3.50,其他类,斤,2021-05-31
柿饼,6.00,7.00,8.00,其他类,斤,2021-05-31
柠檬,3.50,3.75,4.00,其他类,斤,2021-05-31
黑枣,5.00,5.50,6.00,其他类,斤,2021-05-31
山楂,4.00,5.00,6.00,其他类,斤,2021-05-31
姑娘果（灯笼果）,10.00,15.00,20.00,其他类,斤,2021-05-31
鸭梨,1.20,1.35,1.50,梨类,斤,2021-05-31
雪花梨,1.40,1.50,1.60,梨类,斤,2021-05-31
皇冠梨（标箱）,2.50,2.75,3.00,梨类,斤,2021-05-31
丰水梨,2.50,2.75,3.00,梨类,斤,2021-05-31
酥梨,1.50,1.65,1.80,梨类,斤,2021-05-31
库尔勒香梨,3.00,3.50,4.00,梨类,斤,2021-05-31
红香酥梨系列,1.50,1.75,2.00,梨类,斤,2021-05-31
红啤梨,3.00,3.25,3.50,梨类,斤,2021-05-31
蜜梨,2.00,2.25,2.50,梨类,斤,2021-05-31
耙耙柑、丑橘,2.00,2.50,3.00,柑橘类,斤,2021-05-31
鄂、湘、川脐橙,1.50,2.10,2.70,柑橘类,斤,2021-05-31
沃柑,3.50,4.00,4.50,柑橘类,斤,2021-05-31
金桔,5.00,6.00,7.00,柑橘类,斤,2021-05-31
伦晚,1.80,2.40,3.00,柑橘类,斤,2021-05-31
油桃,2.00,5.00,8.00,桃李杏类,斤,2021-05-31
蟠桃,4.50,7.25,10.00,桃李杏类,斤,2021-05-31
水蜜桃,10.00,12.00,14.00,桃李杏类,斤,2021-05-31
春雪,2.80,5.40,8.00,桃李杏类,斤,2021-05-31
黄油桃,4.00,6.00,8.00,桃李杏类,斤,2021-05-31
黄毛桃,10.00,11.00,12.00,桃李杏类,斤,2021-05-31
突围,3.00,3.75,4.50,桃李杏类,斤,2021-05-31
红薯,2.00,2.10,2.20,西瓜红粤新,斤,2021-05-31
茭白,2.50,3.00,3.50,京浙,斤,2021-05-31
凉薯,2.00,2.15,2.30,普通,斤,2021-05-31
荸荠,3.00,3.40,3.80,皖,斤,2021-05-31
芋头,2.00,2.15,2.30,鲁,斤,2021-05-31
苇叶,3.40,3.45,3.50,普通,斤,2021-05-31
姜,3.00,4.00,5.00,姜头整,斤,2021-05-31
